City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Kaitangata,NZ,2020-01-03 05:12:35,-46.28,169.85,53.01,67,76,21.99
232,Benguela,AO,2020-01-03 05:13:52,-12.58,13.4,77.22,85,100,2.68
233,Kristinehamn,SE,2020-01-03 05:13:53,59.31,14.11,45.0,100,100,17.22
234,Mazatlan,MX,2020-01-03 05:13:53,23.22,-106.42,64.0,100,5,4.7
235,Reforma,MX,2020-01-03 05:12:40,24.02,-104.65,42.01,70,0,8.01
236,Necochea,AR,2020-01-03 05:13:53,-38.55,-58.74,59.0,89,14,8.59
237,Nelson Bay,AU,2020-01-03 05:13:53,-32.72,152.14,89.6,38,0,12.75
238,Tevaitoa,PF,2020-01-03 05:13:53,-16.78,-151.5,81.79,80,100,9.69
239,Saskylakh,RU,2020-01-03 05:12:43,71.97,114.09,-15.68,96,99,9.1
240,Nampula,MZ,2020-01-03 05:13:54,-15.12,39.26,75.2,88,75,5.82
241,Sechura,PE,2020-01-03 05:12:47,-5.56,-80.82,71.1,87,46,8.72
242,Karimpur,BD,2020-01-03 05:13:54,23.98,88.63,62.67,73,100,10.94
243,Lavumisa,ZA,2020-01-03 05:13:54,-27.31,31.88,80.6,78,81,1.12
244,Buraydah,SA,2020-01-03 05:13:54,26.33,43.97,50.0,71,2,1.48
245,Quirinopolis,BR,2020-01-03 05:13:54,-18.45,-50.45,73.13,90,74,3.76
246,Tateyama,JP,2020-01-03 05:13:55,36.66,137.31,48.0,81,75,5.82
247,Ardalstangen,NO,2020-01-03 05:13:55,61.24,7.7,33.8,80,90,49.44
248,Kaka,TM,2020-01-03 05:09:02,37.35,59.62,52.9,46,63,2.57
249,Port Hedland,AU,2020-01-03 05:13:55,-20.31,118.58,93.2,52,78,18.34
250,Kieta,PG,2020-01-03 05:13:55,-6.22,155.63,84.69,73,46,6.91
251,Ilyich,RU,2020-01-03 05:13:55,44.09,41.37,25.3,48,63,0.69
252,Lavrentiya,RU,2020-01-03 05:13:56,65.58,-170.99,-13.59,91,2,12.28
253,Coahuayana,MX,2020-01-03 05:13:56,18.62,-100.35,72.32,60,100,1.52
254,Nanortalik,GL,2020-01-03 05:12:48,60.14,-45.24,34.09,47,100,13.2
255,Saint-Georges,CA,2020-01-03 05:13:56,46.12,-70.67,33.01,61,100,5.99
256,Ponnani,IN,2020-01-03 05:13:56,10.77,75.93,86.0,66,20,2.24
257,Bafoulabe,ML,2020-01-03 05:13:56,13.81,-10.83,63.19,15,98,8.43
258,Sayyan,YE,2020-01-03 05:13:57,15.17,44.32,61.27,51,0,4.0
259,Ponta Do Sol,BR,2020-01-03 05:12:49,-20.63,-46.0,65.5,95,99,2.21
260,Koutiala,ML,2020-01-03 05:13:57,12.39,-5.46,54.88,24,17,9.82
261,Khatanga,RU,2020-01-03 05:12:18,71.98,102.47,-5.12,99,100,2.59
262,Belmonte,PT,2020-01-03 05:13:57,40.36,-7.35,44.01,95,100,1.83
263,Imeni Poliny Osipenko,RU,2020-01-03 05:12:22,52.42,136.49,-0.18,84,99,0.98
264,Vila Franca Do Campo,PT,2020-01-03 05:09:32,37.72,-25.43,55.4,66,20,5.82
265,Salalah,OM,2020-01-03 05:13:08,17.01,54.1,78.8,54,75,1.12
266,Naze,NG,2020-01-03 05:13:58,5.43,7.07,66.2,88,21,9.91
267,Takaka,NZ,2020-01-03 05:13:58,-40.86,172.81,66.0,64,18,7.0
268,Airai,TL,2020-01-03 05:12:44,-8.93,125.41,76.17,82,79,3.06
269,Verkhnevilyuysk,RU,2020-01-03 05:11:43,63.45,120.31,-9.62,98,100,3.96
270,Leningradskiy,RU,2020-01-03 05:08:36,69.38,178.42,-9.56,77,0,15.57
271,Kamojima,JP,2020-01-03 05:13:59,34.07,134.35,60.01,50,75,12.75
272,Tomatlan,MX,2020-01-03 05:13:10,19.93,-105.25,54.19,62,0,3.94
273,Poum,MK,2020-01-03 05:11:10,41.28,20.71,19.4,73,0,3.36
274,Aljezur,PT,2020-01-03 05:14:00,37.31,-8.8,57.99,84,100,1.99
275,Port Keats,AU,2020-01-03 05:09:31,-14.25,129.55,90.81,58,100,12.35
276,Puerto Ayora,EC,2020-01-03 05:10:32,-0.74,-90.35,73.99,81,35,5.01
277,Dwarka,IN,2020-01-03 05:14:01,28.58,77.04,61.0,72,40,5.82
278,Hofn,IS,2020-01-03 05:13:00,64.25,-15.21,30.45,62,16,23.09
279,Brae,GB,2020-01-03 05:12:46,60.4,-1.35,41.0,69,100,27.51
280,Iznik,TR,2020-01-03 05:14:01,40.43,29.72,39.2,92,34,3.62
281,Kirovskiy,RU,2020-01-03 05:14:02,45.09,133.51,8.69,86,69,7.49
282,Leshukonskoye,RU,2020-01-03 05:14:02,64.9,45.76,35.33,99,100,11.12
283,Swan Hill,AU,2020-01-03 05:14:02,-35.34,143.56,105.01,17,52,3.0
284,Mogadishu,SO,2020-01-03 05:12:46,2.04,45.34,80.6,74,75,11.41
285,Laguna,BZ,2020-01-03 05:12:18,16.17,-88.94,71.6,100,96,1.39
286,Pampa,US,2020-01-03 05:14:03,35.54,-100.96,44.6,67,1,8.05
287,Magnor,SE,2020-01-03 05:14:03,59.95,12.2,45.0,93,100,16.11
288,Kabare,RW,2020-01-03 05:14:03,-1.65,29.38,64.4,68,75,6.93
289,Iranshahr,IR,2020-01-03 05:14:03,27.21,60.69,62.6,67,40,2.68
290,Codo,ES,2020-01-03 05:14:03,41.33,-0.7,42.8,100,90,4.7
291,Nuuk,GL,2020-01-03 05:14:03,64.17,-51.74,21.2,67,55,26.4
292,Moose Factory,CA,2020-01-03 05:14:03,51.26,-80.61,21.2,92,90,5.82
293,Westport,US,2020-01-03 05:14:03,41.14,-73.36,46.4,87,90,4.7
294,Nabire,ID,2020-01-03 05:14:04,-3.36,135.5,82.62,88,90,2.89
295,Bonavista,CA,2020-01-03 05:14:04,48.65,-53.11,25.5,81,0,19.08
296,Aasiaat,GL,2020-01-03 05:14:04,68.71,-52.87,13.35,74,100,14.72
297,Copiapo,CL,2020-01-03 05:14:04,-27.37,-70.33,60.8,87,33,6.93
298,Martil,MA,2020-01-03 05:14:04,35.62,-5.28,55.4,93,0,6.93
299,Shingu,JP,2020-01-03 05:12:40,33.72,135.99,53.6,54,20,13.87
300,Jijiga,ET,2020-01-03 05:14:05,9.35,42.8,66.4,44,26,8.61
301,Karpogory,RU,2020-01-03 05:14:05,64.0,44.44,34.95,99,100,10.45
302,Bandarban,BD,2020-01-03 05:14:05,22.2,92.22,71.58,80,100,4.76
303,Kaeo,NZ,2020-01-03 05:14:05,-35.1,173.78,71.01,89,3,1.01
304,Vao,EE,2020-01-03 05:14:05,59.1,26.19,36.75,88,17,15.35
